Word,Index
in,1
to,2
of,3
on,4
for,5
the,6
a,7
from,8
india,9
with,10
at,11
after,12
as,13
is,14
by,15
us,16
report,17
video,18
be,19
shares,20
over,21
new,22
indian,23
2,24
pic,25
1,26
and,27
up,28
crore,29
2023,30
year,31
viral,32
pics,33
it,34
old,35
i,36
who,37
are,38
govt,39
delhi,40
says,41
pm,42
not,43
cr,44
3,45
5,46
was,47
study,48
first,49
what,50
lakh,51
10,52
people,53
his,54
000,55
will,56
man,57
world,58
ceo,59
amid,60
tesla,61
can,62
shows,63
israel,64
day,65
musk,66
2024,67
how,68
against,69
mumbai,70
1st,71
have,72
out,73
that,74
this,75
cm,76
surfaces,77
car,78
her,79
my,80
get,81
ai,82
6,83
no,84
india's,85
its,86
you,87
woman,88
goes,89
like,90
covid,91
bjp,92
4,93
yr,94
modi,95
students,96
he,97
gets,98
time,99
most,100
7,101
19,102
world's,103
uk,104
may,105
which,106
8,107
years,108
hamas,109
why,110
about,111
case,112
has,113
miss,114
women,115
found,116
more,117
into,118
ex,119
all,120
mn,121
week,122
launches,123
if,124
minister,125
during,126
me,127
list,128
reports,129
due,130
we,131
top,132
',133
fashion,134
him,135
made,136
released,137
iit,138
air,139
dies,140
mp,141
student,142
off,143
rahul,144
go,145
kerala,146
being,147
days,148
war,149
startup,150
show,151
one,152
apple,153
ev,154
wife,155
make,156
space,157
record,158
high,159
china,160
loss,161
before,162
an,163
₹1,164
ipo,165
test,166
death,167
congress,168
nasa,169
your,170
tata,171
cup,172
down,173
than,174
set,175
gaza,176
their,177
chief,178
police,179
launch,180
flight,181
health,182
isro,183
best,184
team,185
electric,186
15,187
risk,188
raises,189
12,190
worth,191
work,192
bengaluru,193
train,194
win,195
do,196
50,197
when,198
canada,199
surface,200
100,201
cut,202
tax,203
university,204
take,205
google,206
fire,207
elon,208
next,209
actor,210
fy23,211
heart,212
bn,213
inr,214
tech,215
free,216
ever,217
had,218
post,219
announces,220
gadkari,221
telangana,222
under,223
20,224
back,225
attack,226
q2,227
should,228
founder,229
cancer,230
startups,231
killed,232
arrested,233
ola,234
home,235
global,236
vs,237
revenue,238
pak,239
could,240
don't,241
funding,242
odi,243
becomes,244
school,245
airport,246
cars,247
away,248
x,249
got,250
rs,251
israeli,252
30,253
earth,254
son,255
rare,256
schools,257
meet,258
9,259
travel,260
online,261
issues,262
profit,263
motors,264
singh,265
pay,266
match,267
look,268
dead,269
react,270
pakistan,271
khan,272
games,273
college,274
among,275
universe,276
met,277
or,278
dress,279
karnataka,280
gst,281
life,282
but,283
employees,284
now,285
months,286
stake,287
help,288
using,289
seen,290
spacex,291
cases,292
big,293
asian,294
ram,295
500,296
australia,297
event,298
wears,299
didn't,300
other,301
plans,302
visa,303
fight,304
flights,305
court,306
calls,307
million,308
makes,309
while,310
hit,311
remark,312
south,313
mission,314
gala,315
co,316
polls,317
class,318
become,319
indians,320
run,321
wedding,322
she,323
alia,324
kapoor,325
food,326
know,327
stock,328
start,329
face,330
temple,331
11,332
2nd,333
moon,334
b,335
hero,336
body,337
saree,338
₹2,339
model,340
hc,341
mahindra,342
ahead,343
18,344
black,345
did,346
final,347
meets,348
claims,349
can't,350
leader,351
priyanka,352
outfit,353
our,354
month,355
bill,356
parliament,357
gold,358
shah,359
reacts,360
debut,361
billion,362
exam,363
said,364
centre,365
cybertruck,366
watch,367
bank,368
city,369
fake,370
yrs,371
row,372
group,373
ed,374
app,375
visit,376
hours,377
red,378
unveils,379
film,380
family,381
asked,382
kohli,383
brain,384
doctors,385
history,386
plant,387
it's,388
firm,389
were,390
suicide,391
entry,392
40,393
must,394
buy,395
universities,396
24,397
14,398
board,399
mla,400
boy,401
reveals,402
used,403
last,404
sc,405
humans,406
byju's,407
between,408
openai,409
hyderabad,410
japan,411
scientists,412
bus,413
rise,414
women's,415
only,416
house,417
cricket,418
asks,419
wc,420
staff,421
based,422
net,423
bihar,424
won't,425
chandrayaan,426
office,427
vehicles,428
goyal,429
need,430
s,431
hospital,432
prez,433
biggest,434
business,435
today,436
iphone,437
use,438
lost,439
largest,440
musk's,441
named,442
way,443
fans,444
accused,445
girl,446
share,447
notice,448
sells,449
talks,450
per,451
22,452
working,453
25,454
passes,455
chennai,456
probe,457
low,458
gandhi,459
takes,460
states,461
invest,462
rohit,463
station,464
16,465
russia,466
brand,467
crash,468
likely,469
demand,470
virat,471
nipah,472
bombay,473
jobs,474
rules,475
told,476
soon,477
state,478
paytm,479
bans,480
battery,481
head,482
special,483
amazon,484
party,485
paris,486
long,487
kids,488
launched,489
airlines,490
neet,491
order,492
raise,493
them,494
company,495
every,496
daughter,497
men,498
father,499
open,500
rajasthan,501
dog,502
falls,503
series,504
left,505
b'luru,506
hits,507
heavy,508
pune,509
sell,510
firms,511
tesla's,512
story,513
plan,514
they,515
bharat,516
wins,517
posts,518
market,519
byju’s,520
festival,521
good,522
been,523
held,524
so,525
via,526
blue,527
want,528
variant,529
gaming,530
17,531
does,532
anti,533
say,534
cash,535
others,536
tamil,537
highest,538
kamath,539
times,540
responds,541
2022,542
cause,543
alert,544
gujarat,545
never,546
many,547
billionaire,548
just,549
sets,550
factory,551
end,552
releases,553
ad,554
origin,555
medical,556
disease,557
metro,558
26,559
officer,560
human,561
blood,562
job,563
china's,564
mark,565
without,566
seeks,567
owner,568
offer,569
backed,570
january,571
fuel,572
public,573
traffic,574
tn,575
rbi,576
₹3,577
closed,578
uber,579
chinese,580
die,581
21,582
turns,583
non,584
ready,585
i'm,586
issue,587
cannes,588
protest,589
zomato,590
check,591
meeting,592
rocket,593
400,594
road,595
seats,596
behind,597
investment,598
valuation,599
law,600
sold,601
aged,602
workers,603
winter,604
star,605
loses,606
call,607
live,608
punjab,609
linked,610
book,611
virus,612
jail,613
media,614
age,615
23,616
shut,617
india’s,618
actress,619
president,620
piyush,621
would,622
water,623
second,624
srk,625
hair,626
designer,627
money,628
same,629
wearing,630
inside,631
ban,632
inc,633
outside,634
weight,635
13,636
around,637
since,638
spotted,639
am,640
nadu,641
adani,642
two,643
education,644
name,645
salman,646
jan,647
mos,648
see,649
kota,650
strike,651
put,652
maha,653
till,654
called,655
300,656
ramp,657
sharma,658
daily,659
jumps,660
tests,661
sale,662
early,663
change,664
satellites,665
denies,666
stop,667
service,668
mahua,669
own,670
asteroid,671
sea,672
un,673
director,674
remain,675
some,676
mother,677
official,678
aus,679
leaders,680
60,681
very,682
nearly,683
raj,684
suspended,685
female,686
making,687
attacks,688
christmas,689
prices,690
power,691
looks,692
capital,693
key,694
visits,695
tourism,696
reduce,697
return,698
taking,699
security,700
fund,701
auction,702
took,703
karan,704
doesn't,705
